tweet_id,airline_sentiment,negativereason,airline,name,text,tweet_created,tweet_location
570306133677760513,neutral,,Virgin America,cairdin,Review:  What @dhepburn said.,2015-02-24 11:35:52 -0800,
570301130888122368,positive,,Virgin America,jnardino,Review:  plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,
570301083672813571,neutral,,Virgin America,yvonnalynn,Review:  I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48 -0800,Lets Play
570301031407624196,negative,Bad Flight,Virgin America,jnardino,"Review:  it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,
570300817074462722,negative,Can't Tell,Virgin America,jnardino,Review:  and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,
570300767074181121,negative,Can't Tell,Virgin America,jnardino,"Review:  seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33 -0800,
570300616901320704,positive,,Virgin America,cjmcginnis,"Review:  yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,San Francisco CA
570300248553349120,neutral,,Virgin America,pilot,"Review:  Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29 -0800,Los Angeles
570299953286942721,positive,,Virgin America,dhepburn,"Review:  Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19 -0800,San Diego
570295459631263746,positive,,Virgin America,YupitsTate,"Review:  it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27 -0800,Los Angeles
570294189143031808,neutral,,Virgin America,idk_but_youtube,Review:  did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24 -0800,1/1 loner squad
570289724453216256,positive,,Virgin America,HyperCamiLax,Review:  I &lt;3 pretty graphics. so much better than minimal iconography. :D,2015-02-24 10:30:40 -0800,NYC
570289584061480960,positive,,Virgin America,HyperCamiLax,Review:  This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06 -0800,NYC
570287408438120448,positive,,Virgin America,mollanderson,Review:  @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2015-02-24 10:21:28 -0800,
570285904809598977,positive,,Virgin America,sjespers,Review:  Thanks!,2015-02-24 10:15:29 -0800,"San Francisco, CA"
570282469121007616,negative,Late Flight,Virgin America,smartwatermelon,Review:  SFO-PDX schedule is still MIA.,2015-02-24 10:01:50 -0800,"palo alto, ca"
570277724385734656,positive,,Virgin America,ItzBrianHunty,Review:  So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59 -0800,west covina
570276917301137409,negative,Bad Flight,Virgin America,heatherovieda,Review:   I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2015-02-24 09:39:46 -0800,this place called NYC
570270684619923457,positive,,Virgin America,thebrandiray,I ❤️ flying Review: . ☺️👍,2015-02-24 09:15:00 -0800,Somewhere celebrating life.
570267956648792064,positive,,Virgin America,JNLpierce,Review:  you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10 -0800,Boston | Waltham
570265883513384960,negative,Can't Tell,Virgin America,MISSGJ,Review:  why are your first fares in May over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56 -0800,
570264145116819457,positive,,Virgin America,DT_Les,Review:  I love this graphic. http://t.co/UT5GrRwAaA,2015-02-24 08:49:01 -0800,
570259420287868928,positive,,Virgin America,ElvinaBeck,Review:  I love the hipster innovation. You are a feel good brand.,2015-02-24 08:30:15 -0800,Los Angeles
570258822297579520,neutral,,Virgin America,rjlynch21086,Review:  will you be making BOS&gt;LAS non stop permanently anytime soon?,2015-02-24 08:27:52 -0800,"Boston, MA "
570256553502068736,negative,Customer Service Issue,Virgin America,ayeevickiee,Review:  you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2015-02-24 08:18:51 -0800,714
570249102404923392,negative,Customer Service Issue,Virgin America,Leora13,Review:  status match program.  I applied and it's been three weeks.  Called and emailed with no response.,2015-02-24 07:49:15 -0800,
570239632807370753,negative,Can't Tell,Virgin America,meredithjlynn,Review:  What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2015-02-24 07:11:37 -0800,
570217831557677057,neutral,,Virgin America,AdamSinger,Review:  do you miss me? Don't worry we'll be together very soon.,2015-02-24 05:44:59 -0800,"San Francisco, CA"
